driving distance, naive-time, naive-fail, greedy-time, greedy-fail
50,0.667048576261,0,0.666347585083,0
100,1.20332963456,0,1.12055216144,0
150,1.98355961687,0,1.85916148284,0
200,2.67875047559,0,2.37747090545,0
250,3.19044834662,0,2.96086161166,0
300,4.62051268539,0,4.04294213039,0
350,5.37236354983,0,4.7464491147,1
400,6.10430749268,0,5.38857177931,0
450,7.16853475312,0,6.14548751905,0
500,7.80944362454,0,6.82999627664,0
550,9.09733629689,0,7.79275600911,0
