driving distance, naive-time, naive-fail, greedy-time, greedy-fail
50,0.689010683193,0,0.688466762048,0
100,1.36639723498,0,1.36499319079,0
150,1.73987202073,0,1.71684581724,0
200,2.5300353439,0,2.18713425797,0
250,4.3583183047,0,3.11558644776,0
